東雲繪名,……ただいま
母親,おかえりー、絵名。 
久しぶりの絵画教室はどうだった？
東雲繪名,別に、前と同じ。 
……晩ごはんまで部屋にいるから
母親,あ、ちょっと絵名！
父親,…………
東雲繪名,……もう12時回っちゃってる
東雲繪名,（……前、今日から教室行くって言っちゃったし、 
ニーゴのみんなに報告しておいたほうがいいかな……）
東雲繪名,（でも……もし、『どうだった』って聞かれたら——）
メッセージ,『今日はちょっと疲れたから、オフラインで作業するね』
瑞希のメッセージ,『りょーかい！ 
無理しないようにね？』
まふゆのメッセージ,『わかった』
奏のメッセージ,『体調よくなかったら、ゆっくり休んで。 
こっちは気にしなくていいから』
東雲繪名,…………
東雲繪名,……こっちも、ラフ画描かなきゃ。 
もう何日も描けてないんだし
東雲繪名,でも……。 
どういう絵を描けばいいんだろう……
東雲繪名,……あの時と、同じだな
東雲繪名,悩んで止まっててもしょうがない、か。 
今は手を、動かそう——
東雲繪名,…………
東雲繪名,（２日目は油彩……。 
色使いは昔から褒められてたし、中学の時も、 
納得いくものが描けてたけど……）
二葉,おはよう、絵名ちゃん。 
今日は早いんだね
東雲繪名,あ……うん。おはよう
二葉,今日は、風景画みたいだね。 
がんばろう
雪平,もう少し下塗りをしっかりとしたほうがいいですね。 
ムラになっていますよ
生徒A,はい、わかりました
東雲繪名,…………
東雲繪名,（……素描は終わった。 
けど……これじゃ駄目な気がする）
東雲繪名,（でも、どこが駄目なんだろ。 
下塗りが甘いのかな。もしかしてパースが狂ってる？）
東雲繪名,（……全部描き直したくなってきた……）
東雲繪名,（……二葉は、どんな調子なのかな）
東雲繪名,（あ……もう荒描きに入ってる。 
それに、すごい存在感——）
東雲繪名,（……私の絵は…………）
雪平,それでは、本日はここまでです。 
皆さんお疲れさまでした
生徒達,『ありがとうございました』
東雲繪名,（２日目も、うまく描けなかったな。 
雪平先生にも相変わらず酷評されたし——）
東雲繪名,（……そもそも何年も真面目に描いてなかったんだし、 
数日でうまくできるわけないんだけど）
二葉,ねえ、絵名ちゃん。 
よかったら一緒に——
東雲繪名,……ごめん。ちょっと疲れてて。 
今日はひとりで帰るね、バイバイ
二葉,あ……！
二葉,絵名ちゃん……
雪平,…………
東雲繪名,ただいま……。 
あ、今日お母さん出かけてるんだっけ
東雲繪名,……お茶でも飲もうかな……
東雲繪名,（……あれ、誰かいるのかな。 
お母さんは出かけてるって言ってたから、彰人……？）
？？？,——絵名。 
帰っていたのか
東雲繪名,……！　お父さん……！？ 
どうして……
父親,アトリエから早く引き上げてきたんだ
父親,それより——教室はどうだ
東雲繪名,え、どうして、そのこと……
父親,雪平から聞いた
父親,それで——納得いくものは描けたのか
東雲繪名,…………
父親,……そうか
父親,……続けられそうなのか？
東雲繪名,…………
東雲繪名,……続けるしかないでしょ。 
それにあと、１日なんだから……
父親,春期講習だけの話じゃない。 
絵を描き続ける限り—— 
お前が感じている苦しみは続くことになる
父親,納得できるものが描けない、何も生み出せないかもしれない。 
その苦しみと、この先も向き合い続けることができるのか？
東雲繪名,それ、は……
東雲繪名,（苦しみと向きあい続けることが、できるか？ 
そんなの、わかるわけない……）
東雲繪名,（今だって、私だけ場違いな場所で 
みんなの前で酷評されて、恥ずかしい思いして……）
東雲繪名,（たった２日しか行ってないのに……。 
吐きそうなくらい、苦しくて……）
東雲繪名,……でも……
東雲繪名,……これ以上、逃げたくない
東雲繪名,だから……描かなくちゃ……
宵崎奏,——どうだった？　今回のデモ
鏡音鈴,……悪くないんじゃない？
初音未來,……胸がふわっとなる曲だった。 
まふゆの歌詞も、早く見たい
朝比奈真冬,そう……
巡音流歌,でも、前の曲をまだアップしていないと 
言っていなかったかしら？ 
イラストを待っているから、MVが完成していないって
鏡音鈴,…………
宵崎奏,だから先に、いくつかデモを 
作っておこうっていう話になったんだ。 
これはそのうちのひとつ
巡音流歌,ふぅん。そうだったのね
巡音流歌,だけど、大丈夫なのかしら。 
絵名はずっと描けていないのでしょう？
宵崎奏,……うん、いい絵を描けるようにって 
頑張ってるみたいだから、 
しばらく待とうと思ってるんだけど……
鏡音鈴,……瑞希、どうなの？
曉山瑞希,えっ、ボク！？ 
あー、そうだな……
曉山瑞希,昨日メッセージ送ったけど、返ってこないんだよね
宵崎奏,……そっか……
朝比奈真冬,まだ、納得できる絵を描けてないのかな
曉山瑞希,んー、それだけだったらいいんだけど……
曉山瑞希,実は絵画教室に通う前、結構悩んでたみたいなんだよね。 
だから……ちょっとだけ心配なんだ
宵崎奏,悩んでた……？
曉山瑞希,うん、ボクから言っていいことなのかわかんないけどさ
曉山瑞希,……もし、絵名が今も悩んで苦しんでるのなら、 
何か力になりたいなって思って
宵崎奏,…………
宵崎奏,瑞希。その話、詳しく聞かせてくれない？
鏡音鈴,わたしも、知りたい……！
曉山瑞希,う、うん。わかった。 
えっと……
