宵崎奏,「──後來我們就聊到， 
我和兩年前大不相同了。」
曉山瑞希,「是喔～！ 
妳跟家事服務員還會聊這種事啊！」
東雲繪名,「我們已經一起開始創作蠻久的了， 
的確是出現了不少變化。」
東雲繪名,「尤其是開始去『世界』之後， 
有很多事都產生了巨大的轉變。」
朝比奈真冬,「……產生了轉變嗎……」
宵崎奏,「──雪，妳怎麼看呢？」
朝比奈真冬,「……我覺得的確跟兩年前不一樣了。」
宵崎奏,「這樣啊。」
宵崎奏,「說到轉變……我們講話的方式也變了呢。 
一開始我對雪說話也都非常客氣。」
朝比奈真冬,「啊……對耶。」
東雲繪名,「一開始……指的是還只有K和雪兩個人的時候嗎？」
宵崎奏,「嗯，沒錯。」
曉山瑞希,「最一開始只有K和雪兩個人在活動呢。」
曉山瑞希,「總覺得現在四個人活動太理所當然， 
有點難想像只有兩個人時是什麼樣子。」
東雲繪名,「或許這也是其中一個原因……」
曉山瑞希,「欸欸， 
最一開始的25是怎樣的感覺呀？」
曉山瑞希,「只有K和雪兩人創作時的事，我只聽過大概， 
好想聽妳們說說細節喔～」
宵崎奏,「最一開始的時候啊……」
？？？,「哎呀，大家好像正在聊很有趣的事耶。」
宵崎奏,「……？這個聲音……」
東雲繪名,「咦！？未來……還有流歌！？ 
妳們怎麼會出現在電腦螢幕上……？」
巡音流歌,「呵呵，抱歉突然跑來打擾。 
妳們最近很少來『世界』， 
我好無聊。」
曉山瑞希,「啊哈哈，這樣啊。 
未來也覺得很無聊嗎？」
初音未來,「……我是被流歌硬拉過來的。」
朝比奈真冬,「原來是這樣……」
巡音流歌,「話說回來，妳們剛才聊的話題我也很有興趣。」
巡音流歌,「要是妳們不介意，可以讓我們也聽聽 
奏和真冬剛開始一起作曲時的故事嗎？」
宵崎奏,「嗯，我是不介意。 
……雪，我可以說嗎？」
朝比奈真冬,「嗯……我也來回想看看。」
宵崎奏,「……兩年前的這個時候，我爸爸病倒了──」
宵崎奏,「我開始覺得自己必須跟爸爸一樣， 
創作可以拯救人心的歌曲。」
宵崎奏,「後來我就開始天天作曲──」
宵崎奏,……不行。
宵崎奏,這樣完全不行…… 
這種聲音無法拯救任何人……！
宵崎奏,加強貝斯的部分…… 
不對，光是這樣還不夠……
宵崎奏,得創作出讓聽眾的心更能獲得救贖的聲音──
宵崎奏,……吵死了！ 
到底是什麼這麼吵……
宵崎奏,……？影片網站傳來的通知？
宵崎奏,（對了……我想說歌曲的留言或許也能成為作曲靈感， 
昨天上傳新歌時打開通知就沒關了。）
宵崎奏,（……這次會是什麼樣的留言呢？）
留言,「這歌曲真的是妳一個人的創作？」
留言,「每首歌的水準都高到嚇死人了。 
作曲者是什麼人物啊？」
宵崎奏,啊……
留言,「我是第一次對音樂這麼有共鳴， 
感覺被拯救了。」
宵崎奏,……被拯救……
宵崎奏,（……真好， 
我至少還救了這個人……）
宵崎奏,（……可是……這樣還不夠。）
宵崎奏,（我必須繼續創作更多歌曲， 
創作、創作、不斷地創作下去…… 
我得拯救更多人才行！）
宵崎奏,這是我非做不可的事……
宵崎奏,因為我沒有資格活著──
